text,date,retweets,favorites,negative,neutral,positive,compound
RT kittykatluna_: Go add RTVerified ok Snapchat to see my takeover!!! Don’t miss out! RedTube pic.twitter.com/fyz1RhUj8A,2018-02-18 15:58:29,0,1,0.084,0.738,0.178,0.4153
Help my mother added me on Snapchat what do???,2018-02-18 15:58:28,0,0,0.0,0.712,0.288,0.5007
Go to # snapchat and go to # ourstories @ LondonDaArson26 featured. # Addmeonsnapchat # LondonThaArsonist @ LondonDaArson26 # Beats https://airbit.com/profile/ThaArsonistBeats … # MinnesotaNiceSingle https://audiomack.com/song/london-tha-arsonist/minnesota-nice-mix-2-song-prod-by-london-tha-arsonist-1-r … # Add # Sponsored # SHOCKERS # Trolling # Trolls # Sauce # Minnesota # SuperbowlLII # Recappic.twitter.com/qbOsbGHgKy,2018-02-18 15:58:27,0,1,0.106,0.894,0.0,-0.4278
"With this new Snapchat update, I always accidentally open the snaps I’m trying to ignore",2018-02-18 15:58:22,0,5,0.29,0.71,0.0,-0.5994
whys your snapchat icon look like storebrand ryan gosling,2018-02-18 15:58:22,0,0,0.0,0.762,0.238,0.3612
It really is,2018-02-18 15:58:15,0,0,0.0,1.0,0.0,0.0
I figured out why the kids love this dang Snapchat so much! Snap number 1 pic.twitter.com/3B9bcLy2Sf,2018-02-18 15:58:14,0,0,0.0,0.665,0.335,0.7232
RT kittykatluna_: Go add RTVerified ok Snapchat to see my takeover!!! Don’t miss out! RedTube pic.twitter.com/mEx3etdhij,2018-02-18 15:58:07,0,3,0.084,0.738,0.178,0.4153
Bout to start back getting on here .. Facebook is irritating & Snapchat just all kinds of fucked up right now,2018-02-18 15:58:02,0,0,0.291,0.709,0.0,-0.8126
The video was posted on Snapchat and has circulated quickly http://news3lv.com/news/offbeat/security-guard-caught-on-video-pretending-to-shoot-students …,2018-02-18 15:58:01,2,2,0.0,1.0,0.0,0.0
I'm using Snap + for Snapchat to add new features to Snapchat for FREE! http://beta.unlimapps.com/share/com.abcapps.snapplus/ …,2018-02-18 15:58:01,0,0,0.0,0.75,0.25,0.6514
Instagram activa la hora como en snapchat,2018-02-18 15:58:00,0,1,0.0,1.0,0.0,0.0
I'm using Snap + for Snapchat to add new features to Snapchat for FREE! http://beta.unlimapps.com/share/com.abcapps.snapplus/ …,2018-02-18 15:57:59,0,0,0.0,0.75,0.25,0.6514
Add me on snapchat. pic.twitter.com/BqffuJ2WZ5,2018-02-18 15:57:57,0,0,0.0,1.0,0.0,0.0
Nothing annoys me more than couples who are always posting together on social media esp Snapchat,2018-02-18 15:57:57,0,0,0.157,0.843,0.0,-0.4215
Moi j'ai toujours l'ancienne mise a jour Snapchat et mon astuce c'est que j'ai IOS 8 du coup je peu pas télécharger un autre maj que celle sur j'ai actuellement,2018-02-18 15:57:56,0,2,0.0,1.0,0.0,0.0
I'm using Snap + for Snapchat to add new features to Snapchat for FREE! http://beta.unlimapps.com/share/com.abcapps.snapplus/ …,2018-02-18 15:57:54,0,0,0.0,0.75,0.25,0.6514
Snapchat: KrejtHajvan,2018-02-18 15:57:53,0,0,0.0,1.0,0.0,0.0
@ Chaosxsilencer @ Snapchat,2018-02-18 15:57:53,0,0,0.0,1.0,0.0,0.0
"So this random person added me on Snapchat right, and I message him asking, “Who are you?” And then this guy responds with, “A guy who thinks you have big boobs.” My faith in humanity is getting crushed slowly.",2018-02-18 15:57:53,0,6,0.067,0.865,0.067,0.0
I'm using Snap + for Snapchat to add new features to Snapchat for FREE! http://beta.unlimapps.com/share/com.abcapps.snapplus/ …,2018-02-18 15:57:52,0,0,0.0,0.75,0.25,0.6514
It's bloody terrible the end of Snapchat is near,2018-02-18 15:57:51,0,0,0.462,0.538,0.0,-0.7184
Fuck this Snapchat update,2018-02-18 15:57:50,2,1,0.538,0.462,0.0,-0.5423
I'm using Snap + for Snapchat to add new features to Snapchat for FREE! http://beta.unlimapps.com/share/com.abcapps.snapplus/ …,2018-02-18 15:57:49,0,0,0.0,0.75,0.25,0.6514
Quais seus favoritos do Snapchat? — https://curiouscat.me/omeninojunior/post/327535550?1518998186 …,2018-02-18 15:57:47,0,0,0.0,1.0,0.0,0.0
So annoying how nobody's stories show up anymore on snapchat,2018-02-18 15:57:46,0,0,0.25,0.75,0.0,-0.4576
I'm using Snap + for Snapchat to add new features to Snapchat for FREE! http://beta.unlimapps.com/share/com.abcapps.snapplus/ …,2018-02-18 15:57:44,0,0,0.0,0.75,0.25,0.6514
When you start getting used to the new Snapchat update. pic.twitter.com/KENEhfvHjK,2018-02-18 15:57:41,0,2,0.0,1.0,0.0,0.0
Add me on Snapchat! Username: frogb3ats https://www.snapchat.com/add/frogb3ats,2018-02-18 15:57:39,0,0,0.0,1.0,0.0,0.0
why did my ex add me on snapchat,2018-02-18 15:57:38,0,0,0.0,1.0,0.0,0.0
"Why does my @ Snapchat keep reloading the same watched snaps, from hours ago, like they are new?",2018-02-18 15:57:37,0,0,0.0,0.865,0.135,0.3612
"Snapchat just sent me their ""Valentine's Day"" snap, I guess I wasn't that special to get it the day of",2018-02-18 15:57:35,0,3,0.117,0.883,0.0,-0.3089
My Snapchat never updated,2018-02-18 15:57:35,1,0,0.0,1.0,0.0,0.0
So is that it? Has everyone finally gotten over the snapchat update and grown up?,2018-02-18 15:57:31,0,0,0.0,1.0,0.0,0.0
@ SammieAlways my sister and I are huge fans of yours my sister had you first tape and soon your CD. We would love to go to your concert but we live in Cleveland Ohio so we will be watching from Snapchat.... (k)ing,2018-02-18 15:57:29,0,0,0.0,0.902,0.098,0.5023
I'm using Snap + for Snapchat to add new features to Snapchat for FREE! http://beta.unlimapps.com/share/com.abcapps.snapplus/ …,2018-02-18 15:57:28,0,0,0.0,0.75,0.25,0.6514
My nephew really put me in a Snapchat group chat with him and all his friends,2018-02-18 15:57:26,0,5,0.0,0.819,0.181,0.4767
@ OfficialChip on snap chat singing to blinded by your grace... Go on...,2018-02-18 15:57:25,0,0,0.0,1.0,0.0,0.0
fixed the snapchat filter pic.twitter.com/KIuAhca5tK,2018-02-18 15:57:23,0,5,0.0,1.0,0.0,0.0
I'm using Snap + for Snapchat to add new features to Snapchat for FREE! http://beta.unlimapps.com/share/com.abcapps.snapplus/ …,2018-02-18 15:57:21,0,0,0.0,0.75,0.25,0.6514
Me croît pas,2018-02-18 15:57:19,0,0,0.0,1.0,0.0,0.0
"Add me on Snapchat, ryantorres25",2018-02-18 15:57:19,0,0,0.0,1.0,0.0,0.0
My dad still sends me every single Snapchat he takes even though I’m home,2018-02-18 15:57:18,0,1,0.0,1.0,0.0,0.0
Ya still using Snapchat,2018-02-18 15:57:16,0,1,0.0,1.0,0.0,0.0
My Snapchat still hasn’t updated,2018-02-18 15:57:14,0,0,0.0,1.0,0.0,0.0
I hate the new snapchat,2018-02-18 15:57:13,0,3,0.552,0.448,0.0,-0.5719
Deleted my Snapchat a few days ago. The update is hideous,2018-02-18 15:57:13,0,2,0.0,1.0,0.0,0.0
"Live juggling by Unique Soundz at Love and Lust featuring Dexta Daps! @ DjTrippleAUSPD on the MIC and @ DjTrickxUSPD on the wheels of steel! Follow us on Instagram, Twitter and Snapchat: @ DjTrippleAUSPD @ DjTrickxUSPD # UniqueSoundz # AtlantasLandMarkhttps://soundcloud.com/unique-soundz/dextadapslive-february-16th-2018-djtrippleauspd-djtrickxuspd …",2018-02-18 15:57:10,1,0,0.0,0.873,0.127,0.6988
I was wondering why my thighs were so sore today until I looked on Snapchat and saw how low I was droppin it last night,2018-02-18 15:57:09,0,7,0.211,0.789,0.0,-0.6532
# Snapchat @ gemaredondoopic.twitter.com/hYY5ne2Oca,2018-02-18 15:57:06,0,0,0.0,1.0,0.0,0.0
RT kittykatluna_: Go add RTVerified ok Snapchat to see my takeover!!! Don’t miss out! RedTube pic.twitter.com/yg0cgVzCHU,2018-02-18 15:57:06,1,2,0.084,0.738,0.178,0.4153
What’s your Snapchat name — idk https://curiouscat.me/CalumChambersFC/post/327582334?1518998141 …,2018-02-18 15:57:02,0,0,0.189,0.811,0.0,-0.1027
"For those who post their stories as public on snapchat, no one’s watching yo shit",2018-02-18 15:57:00,0,0,0.309,0.691,0.0,-0.7003
Ya me había entendido al nuevo snapchat para que lo vuelvan a cambiar,2018-02-18 15:56:59,2,2,0.0,1.0,0.0,0.0
Insta > Snapchat,2018-02-18 15:56:57,0,0,0.0,1.0,0.0,0.0
Don’t forget to follow me on # Snapchat joecracker_rfp pic.twitter.com/l1oIaNfTjo,2018-02-18 15:56:55,0,1,0.192,0.808,0.0,-0.2263
we still use snapchat ? https://twitter.com/stickojay/status/965291893696450560 …,2018-02-18 15:56:55,0,0,0.0,1.0,0.0,0.0
"S/O to all you people that viewed my Snapchat and instagram stories but didn’t tell me happy birthday, fck you too",2018-02-18 15:56:55,0,1,0.0,0.798,0.202,0.7227
snapchat update is lowkey elite,2018-02-18 15:56:54,1,3,0.0,1.0,0.0,0.0
I'm using Snap + for Snapchat to add new features to Snapchat for FREE! http://beta.unlimapps.com/share/com.abcapps.snapplus/ …,2018-02-18 15:56:49,0,0,0.0,0.75,0.25,0.6514
I low-key forgot about the story,2018-02-18 15:56:45,0,0,0.0,1.0,0.0,0.0
LMAOO THIS MF WHO FOUND MY SNAPCHAT IS WILD pic.twitter.com/49oN3C380i,2018-02-18 15:56:44,0,1,0.0,1.0,0.0,0.0
"Don’t call yourself my friend if i text, Snapchat or call you & you open it or receive it but don’t answer",2018-02-18 15:56:36,0,1,0.0,0.9,0.1,0.2732
Dizque hay gente que aún usa Snapchat.,2018-02-18 15:56:30,1,2,0.0,1.0,0.0,0.0
Snapchat needs to sort its shit out cos I miss communicating soley in bitmoji,2018-02-18 15:56:25,0,2,0.321,0.679,0.0,-0.6369
why my snapchat maps say i live in a shed smh,2018-02-18 15:56:23,0,0,0.223,0.777,0.0,-0.3182
C'est le spam snapchat qui t'attend,2018-02-18 15:56:22,0,1,0.333,0.667,0.0,-0.3612
@ Snapchat you idiots change ur damn app back,2018-02-18 15:56:21,0,1,0.278,0.722,0.0,-0.4019
J'ai tenu 6 jours j'ai supprimé Snapchat quelle purge,2018-02-18 15:56:18,0,1,0.0,1.0,0.0,0.0
"S/O to every girl who woke up, saw the snow and didn’t post about it on Snapchat. Means a lot.",2018-02-18 15:56:12,0,1,0.0,1.0,0.0,0.0
Morgan: *excited gasp* Me: what? Morgan: *big smile* Snoop Dog!! *shows me a snapchat*,2018-02-18 15:56:11,1,0,0.0,1.0,0.0,0.0
Hmu on snapchat if you want to trade sillybands,2018-02-18 15:56:05,0,7,0.0,0.86,0.14,0.0772
mdr LOL sisi,2018-02-18 15:56:05,1,0,0.0,0.361,0.639,0.5473
Drop Snapchat names,2018-02-18 15:56:00,2,5,0.512,0.488,0.0,-0.2732
ever since the update my snapchat just acts stupid I hate it,2018-02-18 15:55:57,0,0,0.441,0.559,0.0,-0.7964
Snapchat still ain’t update on my phone yet life is good,2018-02-18 15:55:53,0,0,0.0,0.775,0.225,0.4404
I’m so glad Snapchat sucks bc now my mcm is less likely to be a sket and snap girls,2018-02-18 15:55:53,0,1,0.125,0.725,0.149,0.1354
I can't wait til Snapchat switch back,2018-02-18 15:55:48,0,1,0.0,1.0,0.0,0.0
It’s been so long since I kinda stopped looking at people’s Snapchat stories unless I’m dead bored. Idk I think seeing people’s lives on the daily kinda distracts you a lot. Well at least to me.,2018-02-18 15:55:48,0,1,0.282,0.666,0.052,-0.8081
J’ai rien fait c’est revenu seul j’lai ai apler,2018-02-18 15:55:44,0,0,0.0,1.0,0.0,0.0
@ Snapchat this update still sucks dick in case y’all thought we forgot,2018-02-18 15:55:38,0,0,0.367,0.633,0.0,-0.7003
Coming from somebody who adds bitches on snapchat that i dont like.,2018-02-18 15:55:38,0,0,0.4,0.6,0.0,-0.7193
I'm using Snap + for Snapchat to add new features to Snapchat for FREE! http://beta.unlimapps.com/share/com.abcapps.snapplus/ …,2018-02-18 15:55:36,0,0,0.0,0.75,0.25,0.6514
Loved the fact my Snapchat is full of Nascar!,2018-02-18 15:55:32,0,0,0.0,0.656,0.344,0.636
Fake news,2018-02-18 15:55:30,1,1,0.756,0.244,0.0,-0.4767
if tana could get her snapchat back that would be great k bye,2018-02-18 15:55:29,0,1,0.0,0.728,0.272,0.6249
Fuck Snapchat pic.twitter.com/5JPDJo63Lj,2018-02-18 15:55:26,1,6,0.636,0.364,0.0,-0.5423
not only am I dying of the flu( again but now I can't provide Quality Snapchat Content fuck this shit,2018-02-18 15:55:25,0,0,0.399,0.601,0.0,-0.9122
It’s a bit late but I decided to give up Snapchat for lent. I was on it too much.,2018-02-18 15:55:19,0,0,0.0,1.0,0.0,0.0
I have a feeling everyones gonna delete their Snapchat for good if they don’t fix it cause I’m on the brink of doing it # snapchatupdate,2018-02-18 15:55:15,0,2,0.0,0.827,0.173,0.5267
I wouldn’t know it was snowing if I didn’t have snap chat,2018-02-18 15:55:15,0,0,0.0,1.0,0.0,0.0
"I hate boys taking my phone and being on my Snapchat. Boy if you don’t get yo UgLaH OFF MY PHONE. Geeeeeeezzzzzz, you’re not my NIGGGAAAAAHHHHHHHHHH",2018-02-18 15:55:15,0,1,0.134,0.866,0.0,-0.5719
Full Gallery: http://ift.tt/2C4Jni5  Justice delayed is pleasure denied... Add me on snapchat: mysuperass pic.twitter.com/XbhLRtz6lI,2018-02-18 15:55:15,0,0,0.095,0.55,0.355,0.7351
Thomas went through all the stories on my Snapchat this morning and just complained about how many people I have on Snapchat,2018-02-18 15:55:11,0,4,0.119,0.881,0.0,-0.4019
I'm using Snap + for Snapchat to add new features to Snapchat for FREE! http://beta.unlimapps.com/share/com.abcapps.snapplus/ …,2018-02-18 15:55:09,0,0,0.0,0.75,0.25,0.6514
The snapchat update is moving mad I'M MEANT TO BE AIRING SNAPS FFS,2018-02-18 15:55:09,0,0,0.413,0.587,0.0,-0.8286
"I’m so indecisive about replying to people’s stories- unless it’s snapchat.. because once you start typing, you don’t have any other option. They know you’re typing.",2018-02-18 15:55:08,0,9,0.084,0.916,0.0,-0.3167
okay snapchat can go back to old way now,2018-02-18 15:55:07,0,0,0.0,0.808,0.192,0.2263
I'm using Snap + for Snapchat to add new features to Snapchat for FREE! http://beta.unlimapps.com/share/com.abcapps.snapplus/ …,2018-02-18 15:55:06,0,0,0.0,0.75,0.25,0.6514
RT kittykatluna_: Go add RTVerified ok Snapchat to see my takeover!!! Don’t miss out! RedTube pic.twitter.com/x7Wksj8hH3,2018-02-18 15:55:05,0,0,0.084,0.738,0.178,0.4153
This new Snapchat update has me sending snaps to the wrong people all the time! It’s so AWKWARD!!!,2018-02-18 15:55:02,0,1,0.313,0.687,0.0,-0.8074
"Por culpa de la gente tengo 2 twitter, 2 facebook, 2 instagram y 2 snapchat ya no puedo mas jaja",2018-02-18 15:55:01,0,0,0.136,0.864,0.0,-0.296
"Finally, one of the most popular marketing tools to exist is now offering analytics. Do you use Snapchat? Snapchat Rolls Out New Analytics https://buff.ly/2o8G4hn",2018-02-18 15:55:01,0,0,0.0,0.881,0.119,0.4754
on snapchat,2018-02-18 15:54:59,0,0,0.0,1.0,0.0,0.0
Snapchat — Lujainkamel33 http://l.ask.fm/igoto/45DKECN75V62DDAUPY6IQO6P5CADPJCVQP6PPH5VBT46VI7PSFZJWZKJFNHMARZXLDYLQS3OAAZH6EYD2547O34SPLX2FAZRRYDBVPSSCVWASJ7CG3IGWEOEQOUPB33BTC6JQFQE4WKCG=== …,2018-02-18 15:54:59,0,0,0.0,1.0,0.0,0.0
Extraño snapchat y phhhoto .,2018-02-18 15:54:58,0,0,0.0,1.0,0.0,0.0
"@ Snapchat is in shambles; stories are no longer in chronological order, no ones snaps are coming through, people are disappearing from my recents, the layout is hideous, and its saying “couldn’t refresh feed” every 0.2 mf seconds",2018-02-18 15:54:56,0,0,0.112,0.888,0.0,-0.5267
# filterfun # snapchat # snapchatfilters # love # mua # curlyhair # curlyhairstyles… https://www.instagram.com/p/BfW3KlXg6Wj/,2018-02-18 15:54:54,0,0,0.0,0.625,0.375,0.6369
Both Instagram and Snapchat have failed me so please stay with me twitter,2018-02-18 15:54:52,0,4,0.195,0.651,0.153,-0.1796
Comment t’as fait,2018-02-18 15:54:52,0,0,0.0,1.0,0.0,0.0
"Acabei de perceber que trouxeram as correntes para o twitter, sinto que o facebook está invadindo lentamente, a pouco tempo atrás também vi correntes no Snapchat, Deus nos dibre pic.twitter.com/SJYeS6SR5B",2018-02-18 15:54:50,0,0,0.078,0.922,0.0,-0.296
I'm using Snap + for Snapchat to add new features to Snapchat for FREE! http://beta.unlimapps.com/share/com.abcapps.snapplus/ …,2018-02-18 15:54:45,0,0,0.0,0.75,0.25,0.6514
I'm using Snap + for Snapchat to add new features to Snapchat for FREE! http://beta.unlimapps.com/share/com.abcapps.snapplus/ …,2018-02-18 15:54:42,0,0,0.0,0.75,0.25,0.6514
RT kittykatluna_: Go add RTVerified ok Snapchat to see my takeover!!! Don’t miss out! RedTube pic.twitter.com/JcpqAm1N6J,2018-02-18 15:54:38,0,0,0.084,0.738,0.178,0.4153
I'm using Snap + for Snapchat to add new features to Snapchat for FREE! http://beta.unlimapps.com/share/com.abcapps.snapplus/ …,2018-02-18 15:54:34,0,0,0.0,0.75,0.25,0.6514
Apparently @ Snapchat knows I’m gay lol pic.twitter.com/t1YLGF7M0I,2018-02-18 15:54:34,0,0,0.0,0.682,0.318,0.4215
en Snapchat sí escribieron bien la fecha # WANTYOUBACKTOMORROWpic.twitter.com/R2JhvgyUIA,2018-02-18 15:54:32,0,0,0.0,1.0,0.0,0.0
Follow my snapchat at seattleSZRhands,2018-02-18 15:54:30,0,0,0.0,1.0,0.0,0.0
the new snapchat update got the amount of people that view my story cut in half oof,2018-02-18 15:54:28,0,3,0.116,0.884,0.0,-0.2732
new snapchat can fuck off two nights in a row where i’ve accidentally sent the wrong people pictures of me in bed with sudocrem on my spots bc of the shitty update moving everything,2018-02-18 15:54:26,0,14,0.303,0.697,0.0,-0.9118
I'm using Snap + for Snapchat to add new features to Snapchat for FREE! http://beta.unlimapps.com/share/com.abcapps.snapplus/ …,2018-02-18 15:54:25,0,0,0.0,0.75,0.25,0.6514
The crap Snapchat update redeemed itself briefly by suggesting Spencer Pratt’s story. Like it’s better than Laguna Beach ever was,2018-02-18 15:54:21,0,1,0.099,0.608,0.293,0.6249
I'm using Snap + for Snapchat to add new features to Snapchat for FREE! http://beta.unlimapps.com/share/com.abcapps.snapplus/ …,2018-02-18 15:54:20,0,0,0.0,0.75,0.25,0.6514
"con los que recibes WhatsApp, Facebook, Twitter, Snapchat, Instagram, Uber, mensajes de texto y minutos # SinLímite MB para navegar y la suscripción sin costo a Claro video a partir de $399.00 pesos al mes.",2018-02-18 15:54:12,0,0,0.11,0.89,0.0,-0.5574
RT kittykatluna_: Go add RTVerified ok Snapchat to see my takeover!!! Don’t miss out! RedTube pic.twitter.com/yc97Xr3NBX,2018-02-18 15:54:07,0,1,0.084,0.738,0.178,0.4153
Instagram stories are so much better than snapchat stories now,2018-02-18 15:54:04,0,0,0.0,0.739,0.261,0.4902
What’s your Snapchat,2018-02-18 15:54:03,0,0,0.0,1.0,0.0,0.0
hey can you tweet out your actual snapchat so people stop adding my friend with the same name,2018-02-18 15:54:01,0,0,0.114,0.738,0.148,0.1832
"@ Snapchat Why doesn't my snapchat have the new font options?? I'm like the only one who doesn't hate the new update, halp!!",2018-02-18 15:54:00,0,0,0.0,0.756,0.244,0.7537
"Apparently, theres 4000 pictures in my phone, including my pic, my cat's pic, my family, snapchat, and 2/5 are full with bts memes and their hot pic but i just deleted 200pic that i didnt use. Wait what? # BestFanArmy # BTSARMY # iHeartAwards @ BTS_twtpic.twitter.com/03h8Bkl1D8",2018-02-18 15:53:59,32,15,0.0,1.0,0.0,0.0
"Me: Hey dad have you heard- Dad: No, I'm not on social media all day like you. You're on instagram and Snapchat too much you need to stop using social media it's infecting your brain Me: there's a new movie coming out..it looks good Dad: did social media tell you that?",2018-02-18 15:53:58,0,6,0.079,0.824,0.097,0.25
I wish I could understand this new Snapchat lol,2018-02-18 15:53:56,0,11,0.0,0.476,0.524,0.6705
"some facts about Robyn socials: twitter, ig, sarahah: @/robynrchl snapchat: @/robynnraachel pic.twitter.com/SqQ4b2XZ3a",2018-02-18 15:53:56,0,1,0.0,1.0,0.0,0.0
No sé si hacerme Snapchat de nuevo,2018-02-18 15:53:51,0,0,0.268,0.732,0.0,-0.296
When your friend who's the head cashier at a grocery store uses the camera's to help find an item while you snapchat each other,2018-02-18 15:53:47,0,0,0.0,0.781,0.219,0.7096
I'm using Snap + for Snapchat to add new features to Snapchat for FREE! http://beta.unlimapps.com/share/com.abcapps.snapplus/ …,2018-02-18 15:53:47,0,0,0.0,0.75,0.25,0.6514
some guy deadass just followed me to get my snapchat and I felt so awkward omfg. I almost had an anxiety attack,2018-02-18 15:53:46,0,5,0.281,0.719,0.0,-0.6861
I'm using Snap + for Snapchat to add new features to Snapchat for FREE! http://beta.unlimapps.com/share/com.abcapps.snapplus/ …,2018-02-18 15:53:46,0,0,0.0,0.75,0.25,0.6514
I'm using Snap + for Snapchat to add new features to Snapchat for FREE! http://beta.unlimapps.com/share/com.abcapps.snapplus/ …,2018-02-18 15:53:43,0,0,0.0,0.75,0.25,0.6514
"I don’t like the Snapchat filter with the hearts. I makes my face wider, short and makes my lips bigger and wider.",2018-02-18 15:53:41,0,0,0.0,0.884,0.116,0.3612
Facebook pierde aceleradamente usuarios en favor de Snapchat http://www.ticbeat.com/socialmedia/facebook-pierde-aceleradamente-usuarios-en-favor-de-snachat/ …,2018-02-18 15:53:41,0,0,0.0,0.748,0.252,0.4019
I only keep up with some of u on snapchat so I know what places to avoid,2018-02-18 15:53:37,1,7,0.145,0.855,0.0,-0.296
Follow me on snap chat @xyx.lazdee,2018-02-18 15:53:33,0,0,0.0,1.0,0.0,0.0
Your 1G monthly data ai baza tayi snapchat ba dama https://twitter.com/Waspapping_/status/965186813378822144 …,2018-02-18 15:53:32,0,0,0.0,1.0,0.0,0.0
I'm using Snap + for Snapchat to add new features to Snapchat for FREE! http://beta.unlimapps.com/share/com.abcapps.snapplus/ …,2018-02-18 15:53:31,0,0,0.0,0.75,0.25,0.6514
