text,date,retweets,favorites,negative,neutral,positive,compound
That's why you beat up passengers who won't take your cheap offers? @ CNN @ foxnews # distressed,2017-04-09 16:59:18,19,88,0.167,0.833,0.0,-0.4215
"We're happy you're taking off. Safe travels, Tanner. ^JR",2017-04-09 16:58:43,0,1,0.0,0.515,0.485,0.765
Nevermind your plane broke down again. Navigation issues.,2017-04-09 16:58:23,0,0,0.286,0.714,0.0,-0.4215
Social Media Disasters - United Airlines http://bit.ly/1cWmch3,2017-04-09 16:57:44,0,0,0.346,0.385,0.269,-0.2023
"@ united # typical every time I fly with you, this happens # getittogether # flysouthwest @ SouthwestAir thank u for always being on time!",2017-04-09 16:57:30,0,0,0.0,0.741,0.259,0.68
"We're here to help if you're having any issues with your travel, Bruce. ^CC",2017-04-09 16:57:06,0,0,0.0,0.828,0.172,0.4019
Woman in Houston airport wearing only a mauve bodysuit reminiscent of ScarJo in her last 3 movies is obviously not flying @ united,2017-04-09 16:56:45,0,2,0.109,0.891,0.0,-0.3252
Not a preferred carrier for us is it?,2017-04-09 16:56:20,0,0,0.0,1.0,0.0,0.0
@ united @ CNN @ FoxNews Just asked to leave plane so they can clean up blood from passenger forced off plane # distressed,2017-04-09 16:55:34,0,0,0.252,0.54,0.208,-0.0609
@ united great flight to SAN 3/31and back from LAX today. Early both ways! # greatcustomerservice!,2017-04-09 16:54:46,0,0,0.0,0.616,0.384,0.8168
"We understand your frustration, and dislike the trouble it caused. We expect travel to be easy on passenger's. ^JR",2017-04-09 16:52:16,2,2,0.319,0.57,0.11,-0.6705
# BoycottExpedia a rip off scam machine mistakes onsite destroy trip # UnitedAirlines should drop them or loose biz # Retweet # expedia,2017-04-09 16:52:10,0,0,0.52,0.48,0.0,-0.9201
Flight check: Houston to Memphis on United Airlines - New Zealand Herald http://dlvr.it/NrbQRQ,2017-04-09 16:52:05,0,0,0.0,0.797,0.203,0.4215
@ united our next flight leaves before flight 942 takes off. Seriously what is up ????,2017-04-09 16:51:10,0,0,0.092,0.704,0.204,0.4696
(2/2) We prioritize the safety of each individual. Our team is looking into this situation as we speak. ^AD,2017-04-09 16:50:43,0,0,0.0,0.865,0.135,0.4215
@ united well done to crew of UA828 Apr 10 2017 GUM-NRT. Excellent service leadership by CP Ms Haruko K.,2017-04-09 16:50:21,0,0,0.0,0.65,0.35,0.8225
"@ united if I can't make my flight tomorrow, what's the penalty for canceling? Can I get any funds back?",2017-04-09 16:50:18,0,0,0.159,0.709,0.132,-0.1431
This @ united plane has to be the smallest plane I've ever been on. The middle arm rest doesn't even go up. I'm too big for this smh,2017-04-09 16:50:02,0,3,0.086,0.822,0.092,0.0451
Waiting for a @ united airlines flight at ORD at a charging station where none of the outlets have power...lots of annoyed people here,2017-04-09 16:49:35,0,0,0.107,0.779,0.115,0.0516
"(1/2) John, any treatment of our passengers that is short of respectful and compassionate is unacceptable. ^AD",2017-04-09 16:49:28,0,0,0.129,0.603,0.267,0.4939
I wish!,2017-04-09 16:49:10,0,0,0.0,0.0,1.0,0.4574
"You busted at least his lip, who knows what other damage you have done! @ cnn @ FoxNews",2017-04-09 16:48:59,1,7,0.189,0.811,0.0,-0.5411
@ united @ ence56 4786 to Allentown,2017-04-09 16:48:40,0,0,0.0,0.588,0.412,0.4215
@ united why is flight 942 New Orleans to Houston delayed ?,2017-04-09 16:48:35,0,0,0.15,0.63,0.22,0.2263
Direct from Boise! Wow that's amazing!,2017-04-09 16:47:57,0,0,0.0,0.328,0.672,0.8475
@ united You guys rock! I left my brand new iPhone 7 in your terminal at O'Hare. You guys found it and shipped it back to me. Thank you!,2017-04-09 16:47:53,0,1,0.0,0.803,0.197,0.7081
No one on flight 3411 believes you care about our safety and welfare. You just drug an older medical Doctor off a flight,2017-04-09 16:47:42,12,32,0.081,0.699,0.221,0.5859
"We love you passion for jets, Zach. Always here to enjoy the photographs. ^AD",2017-04-09 16:45:28,1,1,0.0,0.514,0.486,0.886
We regret the incorrect update. I see you've pulled away from the gate at this time. We will have you on the way shortly. ^AD,2017-04-09 16:45:03,0,0,0.109,0.891,0.0,-0.4215
"If I get 10,000 retweets Can I get a free flight @ united @ Delta @ SouthwestAir",2017-04-09 16:44:22,0,0,0.0,0.596,0.404,0.7269
"As long as the planes keep coming, i will not stop!",2017-04-09 16:44:06,0,0,0.0,0.805,0.195,0.2914
Glad to hear this. Thank you for your patience during this travel. ^AD,2017-04-09 16:44:02,0,0,0.0,0.652,0.348,0.7073
Good: @ united fights ( # YYC - # IAH - # BAT) were on time yesterday Bad: our checked bag left in Houston Good: was delivered to us last night,2017-04-09 16:43:33,0,1,0.183,0.562,0.254,0.34
Just now leaving. 3 hours later. # THANKYOUSOMUCH,2017-04-09 16:43:15,0,0,0.0,1.0,0.0,0.0
Highly recommend @ EVAAirUS over @ united for US to Taipei flights until United replaces their 747. # Taiwan # Airlines,2017-04-09 16:41:33,0,0,0.0,0.625,0.375,0.8122
"Then to top it off flight was delayed, had to pick up now checked bags and we missed pickup time for our dog kennel! Now charged another day",2017-04-09 16:41:14,3,14,0.194,0.75,0.056,-0.5255
http://www.jetphotos.com/photo/8557107 @ united # dreamliner at @ flyLAXairport @ JetPhotos @ Aviation4_Life @ AirplaneGeeks @ iLove_Aviation @ airplane_photo,2017-04-09 16:40:05,0,1,0.0,0.763,0.237,0.4215
@ united why would you design a business class cabin with the seats facing directly to the bathroom and no curtain? pic.twitter.com/snL5tJMzZr,2017-04-09 16:38:51,0,0,0.096,0.783,0.122,0.1531
"Loving the continuously great photos, Zach. ^AD",2017-04-09 16:38:30,0,0,0.0,0.385,0.615,0.8402
@ WHAS11 @ wave3news @ WDRBNews it's hard to get to Louisville tonight,2017-04-09 16:37:54,16,109,0.135,0.865,0.0,-0.1027
"John, we're concerned about this. Safety and respect are of our utmost priority. Can you please DM more details? ^ADhttps://twitter.com/messages/compose?recipient_id=260907612 …",2017-04-09 16:37:53,0,0,0.0,0.654,0.346,0.8406
http://www.jetphotos.com/photo/8557107 @ united @ unitedairlane # ual # united # dreamliner @ BoeingAirplanes #787 departing @ flyLAXairport # lax # losangeles,2017-04-09 16:37:47,0,2,0.0,0.641,0.359,0.6808
"Tyler, this is very concerning. Can you please provide the flight number and details via DM? Thank you. ^AD https://twitter.com/messages/compose?recipient_id=260907612 …",2017-04-09 16:37:01,61,195,0.0,0.725,0.275,0.6662
"@ united Thanks Daphne M. at # NewarkAirport. Working with luggage check-in team, they found & returned my lost credit card. # customerservice",2017-04-09 16:34:26,0,0,0.09,0.586,0.324,0.7184
@ united don't gate check luggage that I could have fit under the seat and then make me pick it up at baggage claim. NOT COOL,2017-04-09 16:32:22,0,0,0.0,0.716,0.284,0.8091
just landed,2017-04-09 16:32:21,0,0,0.0,1.0,0.0,0.0
I wonder why @ AmericanAir or @ united don't serve sports drink like Gatorade or vitamin water. 日系以外の航空会社でスポーツドリンクを提供しているところってあるのでしょうか。,2017-04-09 16:31:46,0,0,0.0,0.615,0.385,0.7579
"@ united flight was delayed, missed my connection, now I have to wait 12 hours. There's a business class seat in an hour but they want $1,100",2017-04-09 16:31:44,0,0,0.116,0.758,0.127,0.0772
Today they switched gates without making any announcements and there was no staff on site to help! And again forced us to check bags,2017-04-09 16:31:37,0,0,0.188,0.719,0.092,-0.4199
Then overhead luggage filled up by group 3 and were forced to check small bags which held us up longer!,2017-04-09 16:30:52,0,0,0.155,0.845,0.0,-0.5093
First off flight was delayed on way out and we missed the game we were traveling to see! No communication on what was happening!,2017-04-09 16:29:12,0,1,0.247,0.753,0.0,-0.7081
I see estimated departure at this time is 8:00 p.m. We thank you for your patience. ^AD,2017-04-09 16:28:30,0,0,0.0,0.857,0.143,0.3612
Not pleased that a plane that was here all day is delayed for maintenance. I'm sure there was a good reason,2017-04-09 16:28:29,0,0,0.076,0.6,0.324,0.7351
pic.twitter.com/gk7oPOSmQe,2017-04-09 16:28:23,1,3,0.0,1.0,0.0,0.0
"['United Airlines 777 airplane toy plane, RT6266'] https://www.amazon.com/United-Airlines-airplane-plane-RT6266/dp/B00176N1UW?SubscriptionId=AKIAIUXRJQI57DUVIN6A&tag=victoriaebren-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00176N1UW … # offer # off2017-04-09 23:28",2017-04-09 16:28:18,0,0,0.0,1.0,0.0,0.0
"United Airlines Is Facing A Severe Wine Shortage … : http://www.thebingbing.com/delight/4268147  .,pic.twitter.com/4nzodoC0SI",2017-04-09 16:28:18,0,1,0.319,0.486,0.194,-0.2023
"225, 1K moved me to AER LINGUS since I would miss my connection",2017-04-09 16:27:13,0,0,0.127,0.873,0.0,-0.1531
@ CNN @ united flight 3411 stuck on tarmac as united forces passengers off flight to accommodate their personnel.,2017-04-09 16:26:19,5,6,0.093,0.648,0.259,0.5574
Great way to end the weekend. Have a successful week ahead. ^SV,2017-04-09 16:26:08,0,0,0.0,0.533,0.467,0.836
Omg. @ united - please tell me my crew is gonna be able to complete the flight to Phoenix with all the delays we have had?! UA 141. Thx.,2017-04-09 16:26:02,1,1,0.0,0.753,0.247,0.784
I like how you roll. ^SV,2017-04-09 16:25:13,0,0,0.0,0.615,0.385,0.3612
@ united flight 3411 is forcing people off the plane bc 4 crew members need a ride @ CNN @ NBCNews,2017-04-09 16:25:03,36,36,0.0,0.843,0.157,0.4215
@ united has everyone on this flight fully distressed and fearful!! Flight 3411,2017-04-09 16:23:49,5,6,0.377,0.475,0.148,-0.6532
In case you're wondering what a @ United Polaris First seat for the Dr. costs - and why I set off my credit card security when I book it. pic.twitter.com/zm7GIk7Opl,2017-04-09 16:23:38,0,0,0.0,0.738,0.262,0.7783
Reminds me of a song about guitars.,2017-04-09 16:23:11,0,1,0.0,1.0,0.0,0.0
"@ united just had the police forcefully remove an older passenger, medical Doctor, who had to work tomorrow.",2017-04-09 16:22:53,0,0,0.0,0.851,0.149,0.4215
They have good service but @ FlyAirNZ have a scam going with loyalty and upgrades - it's something I think is quite misleading @ NZComCom,2017-04-09 16:22:30,1,0,0.285,0.504,0.211,-0.517
It's United so there's every chance,2017-04-09 16:22:27,0,0,0.0,0.441,0.559,0.6204
thanks!,2017-04-09 16:21:49,0,0,0.0,0.0,1.0,0.4926
"New update from @ united !!!! Moved from 6:30 to 7!! Hahahahaha, when hell freezes over.",2017-04-09 16:21:30,0,0,0.317,0.554,0.129,-0.6209
"@ united flight 3411, what is happening???",2017-04-09 16:21:24,1,1,0.0,0.6,0.4,0.5171
You can request the miles here: http://bit.ly/KD9KGo . ^SV,2017-04-09 16:20:36,0,1,0.0,1.0,0.0,0.0
