text,date,retweets,favorites,negative,neutral,positive,compound
"If you get the 18 million RTs, we'll give you a free flight to take you to any @ Wendys in the world in a city we serve. Good luck!https://twitter.com/carterjwm/status/849813577770778624 …",2017-04-07 19:12:39,26784,38222,0.0,0.794,0.206,0.7574
"Yeah, he blocked me. He literally had no idea what he was talking about. The girls who it happened to would think he's stupid too.",2017-04-08 16:59:24,0,1,0.249,0.68,0.071,-0.6705
I like how he was the one who blocked me,2017-04-08 16:59:20,0,0,0.181,0.603,0.216,0.1027
@ wsbtv Is @ Delta putting some of those stranded pax onto @ AmericanAir @ United? 4 days & still canceling is not good. https://twitter.com/wsbtv/status/850826052180094976 …,2017-04-08 16:59:14,0,0,0.108,0.766,0.126,0.1012
@ AmericanAir @ united I can't wait to see how you take advantage of @ Delta mayor f.... up. This is not weather related!,2017-04-08 16:59:09,0,0,0.0,0.779,0.221,0.6239
"Notice how the second one says ""Dated"" This means it is no longer accepted and will not pass as the definition in a court hearing.pic.twitter.com/PWNUIyxoNC",2017-04-08 16:59:01,0,5,0.084,0.837,0.08,-0.0258
"Im just tryna save you from a lawsuit my guy. Legally they could sue you, and you rhink they wont considering other things theyve done?",2017-04-08 16:57:08,0,0,0.069,0.764,0.167,0.4019
Hmmm... disagree,2017-04-08 16:57:07,0,0,0.722,0.278,0.0,-0.3818
United Airlines Banned 2 Girls From A Flight For Wearing Leggings (Then The Airline Made It Worse) http://testredirectapp.azurewebsites.net/aHR0cDovL3d3dy5pbmMuY29tL2NocmlzLW1hdHlzemN6eWsvdW5pdGVkLWFpcmxpbmVzLWJhbm5lZC0yLWdpcmxzLWZyb20tYS1mbGlnaHQtZm9yLXdlYXJpbmctbGVnZ2luZ3MtdGhlbi10aGUtYWlybGkuaHRtbA==/aHR0cHM6Ly93d3cuaW5jaW1hZ2VzLmNvbS91cGxvYWRlZF9maWxlcy9pbWFnZS85NzB4NDUwL2dldHR5XzYxMjU0MjY3Nl8yMDAwMTI3NzIwMDA5MjgwMzA2XzE2OTU5MS5qcGc=/ICAgIFVuaXRlZCBBaXJsaW5lcyBCYW5uZWQgMiBHaXJscyBGcm9tIEEgRmxpZ2h0IEZvciBXZWFyaW5nIExlZ2dpbmdzIChUaGVuIFRoZSBBaXJsaW5lIE1hZGUgSXQgV29yc2UpICAgIA==/QWJzdXJkbHkgRHJpdmVuIGxvb2tzIGF0IHRoZSB3b3JsZCBvZiBidXNpbmVzcyB3aXRoIGEgc2tlcHRpY2FsIGV5ZSBhbmQgYSBmaXJtbHkgcm9vdGVkIHRvbmd1ZSBpbiBjaGVlay4gVGhlIHdob2xlIHN0b3J5IHJlbWFpbnMgdG8gYmUgdG9sZC4gV2hhdCBjYW4gYmUgc2VlbiBpbiBwdWJsaWMsIGhvd2V2ZXIsIGRvZXNuJ3QgbG9vaw== …,2017-04-08 16:56:51,1,1,0.152,0.707,0.141,-0.0516
obliged,2017-04-08 16:56:41,0,0,0.0,1.0,0.0,0.0
CAN I GET A FREE FLIGHT TO NICARAGUA?,2017-04-08 16:56:34,0,0,0.0,0.602,0.398,0.5106
"It is true that they told them a dress code, the girls agreed, and then it was enforced. It is also true that is literally not molestation",2017-04-08 16:56:30,0,5,0.0,0.685,0.315,0.8445
TrueI was about to block him,2017-04-08 16:56:02,0,1,0.367,0.633,0.0,-0.4404
It is true that the airline imposed dress standards on teenage girls. I think that is molesting.,2017-04-08 16:55:36,0,2,0.244,0.622,0.134,-0.3182
@ united will take you but you better find your own way back!,2017-04-08 16:53:22,0,0,0.0,0.623,0.377,0.722
". @ united passenger, nothing in the airport bookstore? Check out this # bookreview http://bit.ly/2oaa1wb pic.twitter.com/KiOT3nXcaf",2017-04-08 16:53:21,0,0,0.0,0.797,0.203,0.4215
This is getting hot! @ united @ Wendys!https://twitter.com/united/status/850531807779057664 …,2017-04-08 16:53:19,0,1,0.0,0.596,0.404,0.5242
Just put John on ignore. You can't argue with ignorance.pic.twitter.com/GZbeJsljPf,2017-04-08 16:53:16,0,1,0.199,0.638,0.162,-0.119
"After 12+ hour flight to # Taiwan & no WiFi & probs w/ audio for movie, @ united sent all passengers a ""perk"" via email. # smart # custserv",2017-04-08 16:53:13,0,0,0.082,0.712,0.206,0.5106
then my 8C seat doesn't even have a functional TV for a 6 hour 15 min flight? @ United what's the link to convert miles? pic.twitter.com/srEcNYX2eo,2017-04-08 16:52:46,0,0,0.0,0.869,0.131,0.4871
"Oh my, did you miss the flight? If so, we can help get you rebooked. ^JR",2017-04-08 16:51:46,0,0,0.086,0.754,0.16,0.3321
Me and the most expensive $10 voucher beer money can buy courtesy of @ united I'm a happy traveler now pic.twitter.com/cBB1nLbsJz,2017-04-08 16:51:43,0,1,0.0,0.64,0.36,0.8402
"@ united @ UnitedAirlines Absolute worst service I have EVER received. I was literally told ""I can't help you it's not part of my job"".",2017-04-08 16:51:22,0,0,0.234,0.663,0.103,-0.5511
"But the girls did. And no, first ammendment does not apply to statements that can not be proven true and hurts ones professional business",2017-04-08 16:49:15,0,5,0.267,0.733,0.0,-0.7672
