text,date,retweets,favorites,negative,neutral,positive,compound
@ United I need to cancel a flight which @ Delta put me on. Can I please DM you the ticket number?,2017-04-06 16:59:05,0,0,0.093,0.607,0.299,0.5267
@ united I'm on UA874 to # UnitedAirlinesGuamMarathon2017 !!! Thanks for sponsoring this event!!,2017-04-06 16:58:55,0,0,0.0,0.593,0.407,0.7825
@ united 2nd time in 2 weeks I've been stranded by a mechanical. Operational incompetence,2017-04-06 16:58:31,0,0,0.205,0.621,0.174,-0.128
"I tried, waited twenty minutes, no response. More great service from # UnitedAirlines",2017-04-06 16:57:29,0,1,0.141,0.577,0.282,0.4927
United Airlines flight will begin soon! Come on down to the flight! https://web.roblox.com/games/638209543/Salt-Lake-City-International-Airport#!/game-instances …pic.twitter.com/pEbtAREnTK,2017-04-06 16:56:34,0,1,0.0,0.766,0.234,0.5684
@ united here I come,2017-04-06 16:56:20,0,0,0.0,0.417,0.583,0.4215
@ united Please hold UA847!!! We're delayed coming in from LA on 793. Our spring break plans will be REALLY messed up if we miss that flight!,2017-04-06 16:56:13,0,0,0.237,0.614,0.149,-0.4577
And @ united just canceled our flight. While we were ON THE PLANE. I've been here since 9:15. I have a hotel booked in PDX. The hell?,2017-04-06 16:56:01,0,5,0.156,0.748,0.095,-0.4215
"Today is exactly why I travel in sweats - waiting for flight, delay after delay. Leggings to be specific. I'm looking at you @ United – bei George Bush Intercontinental Airport (IAH)",2017-04-06 16:54:09,0,2,0.138,0.778,0.084,-0.2023
"C'mon United, Jon's got to get to @ ToddGlass special taping tonight. It can't be missed.",2017-04-06 16:53:52,0,1,0.0,0.619,0.381,0.7497
united airlines has broken my heart 5 times this week,2017-04-06 16:53:43,0,0,0.24,0.543,0.217,-0.0772
@ united has to be 1 of the worst if not THE worst airline,2017-04-06 16:53:41,0,0,0.41,0.45,0.14,-0.7506
"@ united I usually have great experiences with you, but this very unnecessarily rude customer service rep has left a sour taste in my mouth.",2017-04-06 16:53:31,0,0,0.159,0.682,0.16,-0.2424
So many @ United delays at Newark. Lots of unhappy passengers,2017-04-06 16:52:57,0,0,0.202,0.576,0.222,0.0717
@ united y'all been playing games since I got to Chicago! plz help me out and get our luggage off of the plane!,2017-04-06 16:52:48,0,0,0.0,0.649,0.351,0.8011
Can't even respond on Twitter. Definitely never taking United and I'm telling everyone I know to avoid. Smh,2017-04-06 16:52:15,0,0,0.303,0.577,0.12,-0.4822
"@ united - since Sunday on a 3 leg trip, my 1st flight = cancelled, my 2nd flight = 2 hour delay and 3rd and final is now 5 hours. Awful! pic.twitter.com/wry5ChrK8O",2017-04-06 16:51:09,0,0,0.25,0.658,0.092,-0.5848
"# u13nats United Airlines U13 Nationals day two. Nelson 20 - Central City 6, Porirua Bombers 15 - West City 13.",2017-04-06 16:51:03,0,0,0.0,0.859,0.141,0.4215
"Flying from San Francisco to Washington DC, # UnitedAirlines baggage fee prices: 1st bag = $25; 2nd bag = $35, 3rd bag = $150. Indefensible. pic.twitter.com/Eh60cec1U3",2017-04-06 16:51:01,0,0,0.0,1.0,0.0,0.0
United Airlines Paid a Big Price For This Customer Service Screw-Up! http://ow.ly/g0fF30aBX0O,2017-04-06 16:50:09,0,0,0.0,0.764,0.236,0.4753
It's a nice change from the stroopwafels. I can't eat any more of those,2017-04-06 16:49:35,0,1,0.0,0.797,0.203,0.4215
United Airlines may be running out of wine-https://aristravels.com/is-united-facing-a-wine-shortage/ … # United # Winepic.twitter.com/acDof8P0HN,2017-04-06 16:49:14,1,1,0.0,0.588,0.412,0.6808
@ united Also gotta love you TOTALLY ignoring my tweets. I thought this was a support account?,2017-04-06 16:48:36,0,0,0.159,0.427,0.414,0.7162
"Descent into madness has begun. Was supposed to arrive in BOS at 4pm, now it's looking like 1am or not at all. # Ninehourdelay @ united",2017-04-06 16:48:08,0,0,0.099,0.719,0.182,0.34
"@ united it's funny the ticket agents at SCL can't tell you what gate their lounge is at, one said 18 actually is 12 doesn't sound far but is",2017-04-06 16:48:06,0,0,0.0,0.871,0.129,0.431
Thanks! Done! 2000 characters was almost not enough--more issues with my connecting flight. Worst day of travel in the last year. @ united,2017-04-06 16:47:50,0,0,0.14,0.647,0.214,0.2924
Hey @ united can you pls hold flight # UA736? I have a very tight connection and gates are next door - can't miss the @ publicadvocates galapic.twitter.com/xaIxZ8LrKA,2017-04-06 16:47:34,0,0,0.0,0.774,0.226,0.549
@ united first time in ages I've been on a flight with channel 9 - loving it - can you bring it back on all flights # channel9 # united,2017-04-06 16:47:14,0,0,0.0,0.678,0.322,0.8591
@ united - Unreal too much delay in getting your maintenance paperwork done now 2400 is stuck due to weather. Waiting for pilots to step out,2017-04-06 16:46:51,0,0,0.153,0.747,0.1,-0.128
@ SouthwestAir stuck in EWR bc flights canceled @ Delta & @ united flights are leaving?!? Wtf I'm traveling with my prego wife and we're stuck!,2017-04-06 16:46:03,0,1,0.296,0.609,0.095,-0.7135
"""Your wait time is between 5 and 10 minutes"". Oh really @ united ? Because it's going on 15 now...",2017-04-06 16:45:47,0,0,0.0,0.838,0.162,0.4754
Thanks @ united ! pic.twitter.com/8VU8nICEM9,2017-04-06 16:45:26,0,9,0.0,0.143,0.857,0.7177
And putting us on standby with 32 other people on a flight that is now also delayed!,2017-04-06 16:45:15,0,0,0.128,0.872,0.0,-0.2942
Thanks @ united ! pic.twitter.com/1mopz3McRE,2017-04-06 16:45:02,0,4,0.0,0.143,0.857,0.7177
Thank you for unnecessarily cancelling our flight instead of delaying on a holiday weekend when there are no alternatives for days,2017-04-06 16:44:58,0,0,0.159,0.635,0.206,0.296
Oooooo! 6:02! Thanks @ united ! pic.twitter.com/sA0wjM0zZ7,2017-04-06 16:44:42,0,5,0.0,0.313,0.687,0.7633
. @ united is going to make me one of those people who complain on twitter because Newark is a total disaster right now,2017-04-06 16:44:41,0,0,0.241,0.657,0.102,-0.5859
"Never leaving this airport, it seems. Had I rented a car when I arrived this morning at SFO I would be 4 hrs away from PDX. But, @ united...",2017-04-06 16:44:37,0,1,0.0,1.0,0.0,0.0
Gee thanks. Not a peep from the crew or gate agents congratulating me on my loyalty. Major miss in customer service for your best clientele.,2017-04-06 16:44:35,0,0,0.05,0.621,0.329,0.875
People Are Freaking Out About What United Airlines Just 'Banned' On Flights. What do you think? http://bit.ly/2nJh2Ce,2017-04-06 16:44:28,0,0,0.136,0.728,0.136,0.0
"@ CaribbeanInfo, thanks for your RT of the new about @ united's new Houston-BVI flights.",2017-04-06 16:44:16,0,0,0.0,0.805,0.195,0.4404
Thanks @ united ! pic.twitter.com/U3fAKoExpb,2017-04-06 16:44:10,0,2,0.0,0.143,0.857,0.7177
"Apologies for the delay, Riley. Are you still traveling? ^SV",2017-04-06 16:43:29,0,0,0.204,0.796,0.0,-0.3182
@ united sucks balls out loud. Never flying this airline again. Stuck in Peoria. Jerked around again.,2017-04-06 16:42:59,0,0,0.299,0.569,0.133,-0.3612
Thanks @ united ! pic.twitter.com/Yhlwcqhl6E,2017-04-06 16:42:59,0,3,0.0,0.143,0.857,0.7177
Thanks @ united ! pic.twitter.com/bqQK55yQFx,2017-04-06 16:41:35,0,2,0.0,0.143,0.857,0.7177
Thanks @ united ! Pay 5X yet @ lufthansa bumps me down with no comp. Never felt this cheated.I am a net super detractor from now on for both,2017-04-06 16:40:24,0,0,0.107,0.597,0.295,0.807
"Seriously, you guys have awful customer service. I am astounded at how I've been treated today by your staff.",2017-04-06 16:40:20,0,0,0.209,0.667,0.124,-0.2263
@ united thanks for your quick reply ... # not ... round # all to # Deltahttps://twitter.com/edrea20/status/850068412290277377 …,2017-04-06 16:39:26,0,0,0.0,0.659,0.341,0.6908
"Thanks to @ united for locking my online account, declining upgrade, cancelling flight from SFO to EWR, now arriving 2:15 am. And I'm a 1K?",2017-04-06 16:39:05,0,0,0.065,0.727,0.207,0.5994
@ united flight cancelled and they can't get me on another one until SUNDAY! I'm going to need a Passover miracle.,2017-04-06 16:39:00,0,0,0.08,0.643,0.277,0.7088
Still stuck in New York. What a nightmare this is and you call in a hiccup!! It's a choking experience,2017-04-06 16:38:30,0,0,0.271,0.729,0.0,-0.6792
SFO 2011.pic.twitter.com/3F5a9BfxrD,2017-04-06 16:38:16,0,4,0.0,1.0,0.0,0.0
@ Delta bought pizza for 300 cancelled flights today.....it appears they care a little. Take notes @ united,2017-04-06 16:38:16,0,0,0.101,0.608,0.291,0.577
"We always promise amazing views, stunning sunsets, and sometimes even rainbows!",2017-04-06 16:38:04,0,1,0.0,0.471,0.529,0.8398
"I'm clinging to my apathy and humor to stay sane and happy, but I reserve my right to be angry about those missing 24 hours in the future.pic.twitter.com/j96FchY6EL",2017-04-06 16:37:18,0,0,0.255,0.633,0.112,-0.714
