text,date,retweets,favorites,negative,neutral,positive,compound
United Airlines deniega el embarque a una mujer que viajaba con un pavo real como animal de apoyo emocional http://flip.it/RZH7c4,2018-01-30 15:59:51,0,1,0.0,0.865,0.135,0.4215
More Proof: Emotional support peacock pouts after United Airlines rejection http://www.sfgate.com/chris-mcginnis/article/Peacock-pouts-after-United-Airlines-rejection-12537362.php?utm_campaign=twitter-tablet&utm_source=CMS%20Sharing%20Button&utm_medium=social … via @ SFGate,2018-01-30 15:59:30,0,0,0.174,0.447,0.379,0.484
A United Airlines passenger who tried to take her emotional support peacock with her on a cross-country flight has… http://toplocalnow.com/us/boston/at/18#t12300290 …,2018-01-30 15:59:18,0,0,0.0,0.679,0.321,0.7269
@ united Thoughts on an emotional support pizza?,2018-01-30 15:58:52,2,9,0.0,0.36,0.64,0.7269
Hey Erin. We'd like to take a closer look at things. Can you send over the confirmation number for the credit in a DM? ^CWhttps://twitter.com/messages/compose?recipient_id=260907612 …,2018-01-30 15:58:51,0,0,0.0,0.747,0.253,0.6966
Emotional support peacock pouts after United Airlines rejection https://www.sfgate.com/chris-mcginnis/article/Peacock-pouts-after-United-Airlines-rejection-12537362.php?utm_campaign=twitter-tablet&utm_source=CMS%20Sharing%20Button&utm_medium=social … via @ SFGate,2018-01-30 15:58:45,0,0,0.199,0.398,0.403,0.3818
Again airlines will feel the wrath about this n loose millions boycott flying for good United Airlines Forced Emotional Support Peacock to Give Up Its Seat http://people.com/pets/united-airlines-kicks-off-emotional-support-peacock/ … via @ people,2018-01-30 15:58:27,0,0,0.204,0.539,0.257,0.2675
"Props to @ united for turning away a peacock as “emotional support animal”. I love animals more than most people, but this stuff is getting out of hand.",2018-01-30 15:58:16,0,1,0.0,0.664,0.336,0.8641
@ adamcarolla 'Emotional support peacock' barred from United Airlines plane - BBC News http://www.bbc.com/news/world-us-canada-42880690 …,2018-01-30 15:57:39,0,0,0.0,0.559,0.441,0.7269
Business travelers love @ SouthwestAir and @ United (and connecting to them via @ okta) @ USATODAY has the scoop on the top travel apps in # BusinessesAtWork: https://usat.ly/2DZWule  via @ nancytrejos # traveltuesday,2018-01-30 15:57:08,1,6,0.0,0.689,0.311,0.8555
"Not funny, nor necessary. Move on...pic.twitter.com/9moz2ieuyo",2018-01-30 15:56:45,0,0,0.0,0.633,0.367,0.4404
Looks like I won’t be flying @ United anymore if they’re going to deny me my emotional support Apache attack helicopter http://www.foxnews.com/travel/2018/01/30/woman-denied-emotional-support-peacock-on-united-flight.html …,2018-01-30 15:56:44,0,3,0.189,0.481,0.33,0.4767
BBC News - 'Emotional support peacock' barred from United Airlines plane http://www.bbc.co.uk/news/world-us-canada-42880690 …,2018-01-30 15:54:39,0,0,0.0,0.53,0.47,0.7269
United Airlines Blocks 'Emotional Support' Peacock http://ihe.art/HCbM1Zs,2018-01-30 15:54:35,0,0,0.158,0.25,0.592,0.6369
Yeah. You can bring her along. You just can't inflate her.,2018-01-30 15:54:10,0,0,0.0,0.82,0.18,0.296
Emotional Support Peacock Denied Boarding By United Airlines http://ihe.art/LgCStLZ pic.twitter.com/M5L6ksZshh,2018-01-30 15:54:08,0,0,0.193,0.333,0.473,0.4939
You are reminiscent of the wisdom of Mark Twain! I love to hear your remarks,2018-01-30 15:54:07,0,0,0.0,0.603,0.397,0.8356
Emotional support peacock pouts after United Airlines rejection https://www.sfgate.com/chris-mcginnis/article/Peacock-pouts-after-United-Airlines-rejection-12537362.php?utm_campaign=fb-desktop&utm_source=CMS+Sharing+Button&utm_medium=social&utm_campaign=twitter-desktop&utm_source=CMS%20Sharing%20Button&utm_medium=social … via @ SFGate,2018-01-30 15:53:16,0,0,0.199,0.398,0.403,0.3818
Woman denied to bring emotional support peacock on UnitedAirlines flight because airline said it didn't meet their… http://toplocalnow.com/us/san-francisco/at/15#t12299767 …,2018-01-30 15:53:12,0,0,0.131,0.676,0.194,0.1027
United Airlines suddenly makes headway reining in Middle East carriers - Chicago Business Journal https://fb.me/FyRPWhRI,2018-01-30 15:53:04,0,0,0.0,0.823,0.177,0.4215
"# UnitedAirlines You suck. I’m on a 4 hour flight with no video screen for entertainment. No, I don’t want download an app. I want video screen in front of me. I’m flying Delta from now on.",2018-01-30 15:52:54,0,0,0.189,0.672,0.14,-0.4404
I think it is just United Airlines policy to be dicks to their passengers at least two or three times a month.,2018-01-30 15:52:41,0,0,0.0,0.872,0.128,0.4215
"Yeah. Like riding with chickens, pigs, goats & Huckabees.",2018-01-30 15:52:10,0,0,0.0,0.561,0.439,0.5719
A United Airlines passenger who tried to take her emotional support peacock with her on a cross-country flight has had the bird turned away by the airline. http://bos.gl/8PBOQHm pic.twitter.com/lpkEkwqAPM,2018-01-30 15:52:02,15,41,0.0,0.764,0.236,0.7269
BBC News - 'Emotional support peacock' barred from United Airlines plane http://www.bbc.com/news/world-us-canada-42880690 …,2018-01-30 15:51:38,0,1,0.0,0.53,0.47,0.7269
"It is because I am discerning that I despise him. He is the most crass individual on the planet. An apartment decorated like Saddam Hussein's palace is not discernment. It is trashy. I, unlike trump, have standards. You did not hit a nerve. I am just sick of fake Christians.",2018-01-30 15:50:23,0,0,0.165,0.788,0.047,-0.743
"United Airlines catering workers in Denver, elsewhere move to unionize http://on9news.tv/2EoXtcx pic.twitter.com/rYgjq3TUza",2018-01-30 15:50:07,2,1,0.0,0.781,0.219,0.4215
Cuando crees que lo has visto todo. United Airlines deniega el embarque a una mujer que viajaba con un pavo real como animal de apoyo emocional https://es.gizmodo.com/united-airlines-deniega-el-embarque-a-una-mujer-que-via-1822566344about:invalid#zSoyz …,2018-01-30 15:49:31,0,0,0.0,0.899,0.101,0.4215
